e,edot,e_next,edot_next,dt
-2.47314629,-0.003950784,-2.472997114,-0.0039412645,0.007999999999995566
-2.472997114,-0.0039412645,-2.47285287,-0.0039194627,0.007999999999995566
-2.47285287,-0.0039194627,-2.472712964,-0.003874721,0.007999999999995566
-2.472712964,-0.003874721,-2.472577542,-0.003866833,0.007999999999995566
-2.472577542,-0.003866833,-2.472419828,-0.0038301465,0.007999999999995566
-2.472419828,-0.0038301465,-2.472266912,-0.0037781373,0.007999999999995566
-2.472266912,-0.0037781373,-2.472106189,-0.0036932395,0.007999999999995566
-2.472106189,-0.0036932395,-2.471950084,-0.0036335678,0.007999999999995566
-2.471950084,-0.0036335678,-2.471774846,-0.003593829,0.007999999999995566
-2.471774846,-0.003593829,-2.47160475,-0.003519006,0.007999999999995566
-2.47160475,-0.003519006,-2.471439317,-0.0034303328,0.007999999999995566
-2.471439317,-0.0034303328,-2.471278638,-0.0033887725,0.007999999999995566
-2.471278638,-0.0033887725,-2.471110106,-0.003348581,0.007999999999995566
-2.471110106,-0.003348581,-2.47094825,-0.0032728924,0.007999999999995566
-2.47094825,-0.0032728924,-2.470790952,-0.0032231852,0.007999999999995566
-2.470790952,-0.0032231852,-2.470638111,-0.003137713,0.007999999999995566
-2.470638111,-0.003137713,-2.47047861,-0.0031956644,0.007999999999995566
-2.47047861,-0.0031956644,-2.470324382,-0.0031873717,0.007999999999995566
-2.470324382,-0.0031873717,-2.470174998,-0.003181118,0.007999999999995566
-2.470174998,-0.003181118,-2.470030308,-0.0031723105,0.007999999999995566
-2.470030308,-0.0031723105,-2.469873667,-0.003193849,0.007999999999995566
-2.469873667,-0.003193849,-2.469720513,-0.003084384,0.007999999999995566
-2.469720513,-0.003084384,-2.469571337,-0.003004439,0.007999999999995566
-2.469571337,-0.003004439,-2.4694262,-0.0029188073,0.007999999999995566
-2.4694262,-0.0029188073,-2.46926254,-0.002867976,0.007999999999995566
-2.46926254,-0.002867976,-2.4691034099999998,-0.0027885758,0.007999999999995566
-2.4691034099999998,-0.0027885758,-2.468948632,-0.002708076,0.007999999999995566
-2.468948632,-0.002708076,-2.468797997,-0.0026187089,0.007999999999995566
-2.468797997,-0.0026187089,-2.46865368,-0.0025572593,0.007999999999995566
-2.46865368,-0.0025572593,-2.46850051,-0.0026030885,0.007999999999995566
-2.46850051,-0.0026030885,-2.468352526,-0.0026351432,0.007999999999995566
-2.468352526,-0.0026351432,-2.468209043,-0.0025816504,0.007999999999995566
-2.468209043,-0.0025816504,-2.468069896,-0.0025792872,0.007999999999995566
-2.468069896,-0.0025792872,-2.467920706,-0.0025412156,0.007999999999995566
-2.467920706,-0.0025412156,-2.467775777,-0.00247257,0.007999999999995566
-2.467775777,-0.00247257,-2.467635036,-0.002461848,0.007999999999995566
